N1,N2,N3,N4,N5,N6,N7,N8,N9,M1,M2,M3
0.0611,0.0251,8.263557664,3.115142465,10.72563241,0.44120107,28.0001,21.0001,0.709560952,RAISE,LOWER,RAISE
0.0601,0.0261,8.72764279,2.462074749,10.72563241,0.530541236,28.4001,21.3001,0.770449457,RAISE,LOWER,RAISE
0.0591,0.0271,8.903306527,1.997989623,10.72563241,0.708966517,28.8001,21.6001,0.813718246,RAISE,LOWER,RAISE
0.0581,0.0281,8.942755104,1.822325885,10.72563241,0.891226503,29.2001,21.9001,0.830096183,RAISE,LOWER,RAISE
0.0571,0.0291,9.731513683,1.782877308,10.72563241,0.981466068,29.6001,22.2001,0.833774155,RAISE,LOWER,RAISE
0.0561,0.0301,10.25889816,0.994118729,10.72563241,1.091663867,30.0001,22.5001,0.907313742,RAISE,LOWER,RAISE
0.0551,0.0311,10.69464764,0.466734248,10.72563241,2.063918094,30.4001,22.8001,0.956484221,RAISE,LOWER,RAISE
0.0541,0.0321,3.363095733,0.030984777,10.72563241,4.582756749,30.8001,23.1001,0.997111147,HOLD,LOWER,HOLD
0.0531,0.0321,4.107074825,7.36253668,10.72563241,21.70805165,30.8001,23.1001,0.313556871,RAISE,LOWER,RAISE
0.0521,0.0331,4.127258139,6.618557587,10.72563241,0.111566842,31.2001,23.4001,0.38292146,RAISE,LOWER,RAISE
0.0511,0.0341,5.012932975,6.598374274,10.72563241,0.124717753,31.6001,23.7001,0.384803243,RAISE,LOWER,RAISE
0.0501,0.0351,5.240720803,5.712699438,10.72563241,0.151944487,32.0001,24.0001,0.467378778,RAISE,HOLD,RAISE
0.0501,0.0361,5.267157348,5.484911609,10.72563241,0.183476161,32.4001,24.3001,0.488616485,RAISE,HOLD,RAISE
0.0501,0.0371,6.105924235,5.458475065,10.72563241,0.192059881,32.8001,24.6001,0.491081285,RAISE,HOLD,RAISE
0.0501,0.0381,6.443137064,4.619708177,10.72563241,0.223722712,33.2001,24.9001,0.569283377,RAISE,HOLD,RAISE
0.0501,0.0391,7.307602736,4.282495348,10.72563241,0.278941302,33.6001,25.2001,0.600723278,RAISE,HOLD,RAISE
0.0501,0.0401,7.861903316,3.418029676,10.72563241,0.34127779,34.0001,25.5001,0.681321386,RAISE,RAISE,RAISE
0.0701,0.0411,8.095293888,2.863729096,10.72563241,0.460025457,34.4001,25.8001,0.733001376,RAISE,RAISE,RAISE
0.0901,0.0421,8.650689843,2.630338525,10.72563241,0.565367297,34.8001,26.1001,0.754761452,RAISE,LOWER,RAISE
0.0891,0.0431,8.717069557,2.074942569,10.72563241,0.657762471,35.2001,26.4001,0.806543569,RAISE,LOWER,RAISE
0.0881,0.0441,9.599958068,2.008562855,10.72563241,0.840222731,35.6001,26.7001,0.812732455,RAISE,LOWER,RAISE
0.0871,0.0451,10.14778421,1.125674344,10.72563241,0.955903177,36.0001,27.0001,0.895048208,RAISE,LOWER,RAISE
